w1,w2,fre_amplitude
nan,2.418988902278924158e+00,1.000000000000000000e+00
nan,2.322627771250414419e+00,1.100000000000000089e+00
nan,2.239072597887639571e+00,1.200000000000000178e+00
nan,2.165770866392837668e+00,1.300000000000000266e+00
nan,2.100824585261929389e+00,1.400000000000000355e+00
nan,2.042789687547598376e+00,1.500000000000000444e+00
nan,1.990545718843733658e+00,1.600000000000000533e+00
nan,1.943208460847845931e+00,1.700000000000000622e+00
nan,1.900069724137491312e+00,1.800000000000000711e+00
nan,1.860554865449120854e+00,1.900000000000000577e+00
nan,1.824192179786321866e+00,2.000000000000000444e+00
nan,1.790590436961596810e+00,2.100000000000000533e+00
nan,1.759422121525944904e+00,2.200000000000000622e+00
nan,1.730410741676683184e+00,2.300000000000000711e+00
nan,1.703321090095651247e+00,2.400000000000000799e+00
nan,1.677951678992128270e+00,2.500000000000000888e+00
nan,1.654128798709432413e+00,2.600000000000000977e+00
nan,1.631701804032314351e+00,2.700000000000001066e+00
nan,1.610539339601716691e+00,2.800000000000001155e+00
nan,1.590526291330907283e+00,2.900000000000001243e+00
nan,1.571561304589712549e+00,3.000000000000001332e+00
nan,1.553554748871520008e+00,3.100000000000001421e+00
nan,1.536427037154901365e+00,3.200000000000001510e+00
nan,1.520107229255357018e+00,3.300000000000001599e+00
nan,1.504531864223631166e+00,3.400000000000001688e+00
nan,1.489643978743236064e+00,3.500000000000001776e+00
nan,1.475392277540351404e+00,3.600000000000001421e+00
nan,1.461730428778633017e+00,3.700000000000001510e+00
nan,1.448616462799557469e+00,3.800000000000001599e+00
nan,1.436012256771775464e+00,3.900000000000001688e+00
nan,1.423883091114439337e+00,4.000000000000001776e+00
nan,1.412197266170181598e+00,4.100000000000002309e+00
nan,1.400925769680915201e+00,4.200000000000001954e+00
nan,1.390041987282621738e+00,4.300000000000002487e+00
nan,1.379521449574042435e+00,4.400000000000002132e+00
nan,1.369341610397628584e+00,4.500000000000002665e+00
nan,1.359481651852407769e+00,4.600000000000002309e+00
nan,1.349922312278701186e+00,4.700000000000001954e+00
nan,1.340645734046014503e+00,4.800000000000002487e+00
nan,1.331635328463026902e+00,4.900000000000002132e+00
2.356080457693621161e-08,1.322875655532295136e+00,5.000000000000002665e+00
1.499266081384133253e-01,1.314352316607731552e+00,5.100000000000002309e+00
2.103058331342133880e-01,1.306051858292665235e+00,5.200000000000002842e+00
2.555297659488697248e-01,1.297961686150294724e+00,5.300000000000002487e+00
2.927788049971764561e-01,1.290069986994669016e+00,5.400000000000003020e+00
3.248666147800168269e-01,1.282365658695433064e+00,5.500000000000002665e+00
3.532526646547973215e-01,1.274838246568671618e+00,5.600000000000003197e+00
3.788136872633534602e-01,1.267477885543547567e+00,5.700000000000002842e+00
4.021272196797029408e-01,1.260275247393469966e+00,5.800000000000003375e+00
4.235987381668731011e-01,1.253221492404049453e+00,5.900000000000003020e+00
4.435265589520497320e-01,1.246308224920366081e+00,6.000000000000003553e+00
4.621381774500602502e-01,1.239527452274912900e+00,6.100000000000003197e+00
4.796120822806984596e-01,1.232871546646434835e+00,6.200000000000003730e+00
4.960915837068829437e-01,1.226333209439912642e+00,6.300000000000003375e+00
5.116939737788664955e-01,1.219905437809993831e+00,6.400000000000003908e+00
5.265168182583190859e-01,1.213581492974878939e+00,6.500000000000003553e+00
5.406424122491305662e-01,1.207354869985391321e+00,6.600000000000004086e+00
5.541410187708208923e-01,1.201219268624857284e+00,6.700000000000003730e+00
5.670732765264816511e-01,1.195168565119381077e+00,6.800000000000003375e+00
5.794920259398347318e-01,1.189196784334765056e+00,6.900000000000003908e+00
5.914437187977058530e-01,1.183298072124999267e+00,7.000000000000003553e+00
6.029695240896050246e-01,1.177466667476899431e+00,7.100000000000004086e+00
6.141062084911401708e-01,1.171696874064549254e+00,7.200000000000003730e+00
6.248868472969116850e-01,1.165983030783607211e+00,7.300000000000004263e+00
6.338325995877672758e-01,1.159840021483288020e+00,7.400000000000003908e+00
6.427088539409268053e-01,1.153810968069628906e+00,7.500000000000004441e+00
6.518843224959082194e-01,1.148002318619335549e+00,7.600000000000004974e+00
