zc,Amplitude,Phase,Distance_min,Force_max,Energy_diss,Virial1,Deflection,Contact_time,Power_diss
1.875000000000000355e+01,1.499962815663144511e+01,8.999582077593122165e+01,3.581086851844595298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.391039595644755988e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000355e+01,1.499962539439115794e+01,8.999582261462030885e+01,2.831093838171364840e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.415584546192233782e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000355e+01,1.499962366399325475e+01,8.999582145622038354e+01,2.081092877050567225e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.403754427412242730e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000355e+01,1.499962366834301974e+01,8.999582146011567829e+01,1.331092874397914683e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.403765129013879918e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+01,1.499962366834691174e+01,8.999582146013150918e+01,5.810928743955025011e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.403765133605103153e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000178e+01,1.500052376107706920e+01,8.996325720411900306e+01,-1.694775825200789121e-01,2.284438063940679342e+01,-7.739911803964775376e-05,-9.528016550704313525e-01,2.691790816268346646e-03,5.468750000000000000e-02,3.295126814234873791e+02
1.425000000000000178e+01,1.501511446319896415e+01,8.906504375989129585e+01,-9.181417128577810116e-01,2.880551042118885334e+02,-2.611128987823036277e-02,-2.755739195719504764e+01,6.267122651046001802e-02,1.093750000000000000e-01,1.100076403983287855e+04
1.350000000000000178e+01,1.502695784633596077e+01,8.712718358478089442e+01,-1.638798776957118397e+00,6.869093753690897302e+02,4.051322101179755802e-02,-8.437363400898165366e+01,1.933621593029118402e-01,1.484375000000000000e-01,3.538530502563949267e+04
1.275000000000000178e+01,1.500370808315086180e+01,8.449169977880448812e+01,-2.298767039688797809e+00,1.141178128274809069e+03,-2.118710691197769891e-02,-1.599745673483853636e+02,3.718511977106478961e-01,1.640625000000000000e-01,7.146856029582253541e+04
1.200000000000000178e+01,1.492695086376717484e+01,8.148262412901536322e+01,-2.886530102421082322e+00,1.605739658131338729e+03,-2.353959682813587806e-01,-2.429394317159704144e+02,5.755870570978613987e-01,1.875000000000000000e-01,1.145023407296557853e+05
1.125000000000000178e+01,1.479192810484607712e+01,7.832511640558794852e+01,-3.406979048199922477e+00,2.059041933756871003e+03,-6.102821745804316855e-02,-3.252937494721622897e+02,7.885686402186372623e-01,2.031250000000000000e-01,1.612805890957931988e+05
1.050000000000000178e+01,1.460098470049928210e+01,7.514692958090516584e+01,-3.868345658812800902e+00,2.491144432498805145e+03,-3.165545524338517769e-01,-4.022125022442409090e+02,1.001511173986410652e+00,2.109375000000000000e-01,2.094331530834444857e+05
9.750000000000001776e+00,1.435604474406753361e+01,7.201134590902080390e+01,-4.272199838101705005e+00,2.891267909996630806e+03,1.428476579364169052e-01,-4.709591233056290775e+02,1.209634574219777381e+00,2.187500000000000000e-01,2.570890044538319053e+05
9.000000000000001776e+00,1.406328936395102680e+01,6.894611120493112821e+01,-4.626553282435891035e+00,3.258347123678579010e+03,5.114113023530536539e-02,-5.303485875036394646e+02,1.410674891810529408e+00,2.265625000000000000e-01,3.029214107984244474e+05
8.250000000000001776e+00,1.372994597652054516e+01,6.596097938515495684e+01,-4.939603578463034772e+00,3.594588181330937459e+03,-6.961694414103515582e-02,-5.796421859755022297e+02,1.603690331408281544e+00,2.343750000000000000e-01,3.460329705100954161e+05
7.500000000000000888e+00,1.336432858333145823e+01,6.305705697748052785e+01,-5.223473538631909108e+00,3.908859816954161488e+03,1.436258844535085177e-01,-6.188984523100276647e+02,1.788408713535262207e+00,2.421875000000000000e-01,3.858181794357467443e+05
6.750000000000000888e+00,1.296568942252913281e+01,6.023147697992112626e+01,-5.474233670558911413e+00,4.193686818389649488e+03,-1.275553985703900828e-01,-6.481310022614453601e+02,1.964888648438164465e+00,2.500000000000000000e-01,4.218506932880922104e+05
6.000000000000000888e+00,1.253734064456739361e+01,5.747975625084414020e+01,-5.695604999622971398e+00,4.450622826831860948e+03,2.363921187316318784e-01,-6.675141539350573794e+02,2.133357624828245758e+00,2.578125000000000000e-01,4.538145820264901267e+05
5.250000000000000888e+00,1.208197011101682961e+01,5.479708635853172893e+01,-5.890517552283546898e+00,4.681027352335494470e+03,-1.002587001364170644e-01,-6.774228853426162686e+02,2.294120762908815170e+00,2.656250000000000000e-01,4.814595393663633149e+05
4.500000000000000888e+00,1.160394827193017875e+01,5.217875868559804786e+01,-6.061238958848001346e+00,4.885995990063801401e+03,1.893138643319959569e-01,-6.780950114553916137e+02,2.447524740838311619e+00,2.656250000000000000e-01,5.045735154775325209e+05
